source,metadata_json
access.txt,"{""category"":""security"",""tags"": [""access"", ""contractor""]}"
atlas.txt,"{""category"":""operations"",""tags"": [""atlas"", ""exports""]}"
backup.txt,"{""category"":""operations"",""tags"": [""backup"", ""recovery""]}"
beacon.txt,"{""category"":""operations"",""tags"": [""alerts"", ""beacon""]}"
billing.txt,"{""category"":""finance"",""tags"": [""billing""]}"
budget.txt,"{""category"":""finance"",""tags"": [""budget""]}"
cache.txt,"{""category"":""engineering"",""tags"": [""cache""]}"
delete.txt,"{""category"":""privacy"",""tags"": [""deletion""]}"
deploy.txt,"{""category"":""engineering"",""tags"": [""deployment""]}"
encryption.txt,"{""category"":""security"",""tags"": [""encryption""]}"
finance-policy.txt,"{""category"":""finance"",""tags"": [""policy"", ""fin_042""]}"
leave.txt,"{""category"":""hr"",""tags"": [""leave""]}"
meeting.txt,"{""category"":""operations"",""tags"": [""meetings""]}"
nova.txt,"{""category"":""security"",""tags"": [""authentication""]}"
onboarding.txt,"{""category"":""hr"",""tags"": [""onboarding""]}"
outage.txt,"{""category"":""operations"",""tags"": [""outage""]}"
password.txt,"{""category"":""security"",""tags"": [""password""]}"
quota.txt,"{""category"":""engineering"",""tags"": [""api"", ""quota""]}"
refund.txt,"{""category"":""finance"",""tags"": [""refund""]}"
retention.txt,"{""category"":""security"",""tags"": [""retention""]}"
search.txt,"{""category"":""engineering"",""tags"": [""search""]}"
storage.txt,"{""category"":""engineering"",""tags"": [""storage""]}"
support.txt,"{""category"":""support"",""tags"": [""support""]}"
travel-policy.txt,"{""category"":""finance"",""tags"": [""travel"", ""policy""]}"
